d3,d2,d1,w1,w2,w3
0,0.5,0.5,3.10,9.10,12.60
0.1,0.5,0.5,3.10,9.10,12.40
0.2,0.5,0.5,3.10,8.80,12.40
0.3,0.5,0.5,3.1,8.80,12.20
0.4,0.5,0.5,3.10,8.80,12.10
0.5,0.5,0.5,3.10,8.70,11.90
0.6,0.5,0.5,3.10,8.40,11.90
0.7,0.5,0.5,3.10,8.40,11.80
0.8,0.5,0.5,3.10,8.40,11.70
0.9,0.5,0.5,3.10,8.30,11.60
1,0.5,0.5,3.10,8.10,11.60
