l1,l2,l4,k1,k2,k3,w1,w2,w3
1,1,1,4200,4200,4200,21.32398516,59.74546563,86.34430727
1.005464481,1.005464481,1.005464481,4200,4200,4200,21.26596555,59.58847737,86.10920591
1.010928962,1.010928962,1.010928962,4200,4200,4200,21.208454,59.42488442,85.87600975
1.016393443,1.016393443,1.016393443,4200,4200,4200,21.15134888,59.26383173,85.64509983
1.021857923,1.021857923,1.021857923,4200,4200,4200,21.09475182,59.10582736,85.41571407
1.027322404,1.027322404,1.027322404,4200,4200,4200,21.03856119,58.93969415,85.1882335
1.032786885,1.032786885,1.032786885,4200,4200,4200,20.98277702,58.78372199,84.96265813
1.038251366,1.038251366,1.038251366,4200,4200,4200,20.92750089,58.63791089,84.73860692
1.043715847,1.043715847,1.043715847,4200,4200,4200,20.8726312,58.48447899,84.51646091
1.049180328,1.049180328,1.049180328,4200,4200,4200,20.81826957,58.33155515,84.29622009
1.054644809,1.054644809,1.054644809,4200,4200,4200,20.76421277,58.18015546,84.07750343
1.06010929,1.06010929,1.06010929,4200,4200,4200,20.71066402,58.02113499,83.86069197
1.06557377,1.06557377,1.06557377,4200,4200,4200,20.65742011,57.88142052,83.64540466
1.071038251,1.071038251,1.071038251,4200,4200,4200,20.60468425,57.7345933,83.43164152
1.076502732,1.076502732,1.076502732,4200,4200,4200,20.55235482,57.57760504,83.21940253
1.081967213,1.081967213,1.081967213,4200,4200,4200,20.50033023,57.43230199,83.00906874
1.087431694,1.087431694,1.087431694,4200,4200,4200,20.4488137,57.29614388,82.80025911
1.092896175,1.092896175,1.092896175,4200,4200,4200,20.39760199,57.15338109,82.59297363
1.098360656,1.098360656,1.098360656,4200,4200,4200,20.34679673,57.0106183,82.38721232
1.103825137,1.103825137,1.103825137,4200,4200,4200,20.29639791,56.86836356,82.18297516
1.109289617,1.109289617,1.109289617,4200,4200,4200,20.24630392,56.72864909,81.98064319
1.114754098,1.114754098,1.114754098,4200,4200,4200,20.19661637,56.59198293,81.77945435
1.120218579,1.120218579,1.120218579,4200,4200,4200,20.14733526,56.45125235,81.57940863
1.12568306,1.12568306,1.12568306,4200,4200,4200,20.09835899,56.31306203,81.3812681
1.131147541,1.131147541,1.131147541,4200,4200,4200,20.04978916,56.17842809,81.18465173
1.136612022,1.136612022,1.136612022,4200,4200,4200,20.00152416,56.03464919,80.98917848
1.142076503,1.142076503,1.142076503,4200,4200,4200,19.95356399,55.90763603,80.79522939
1.147540984,1.147540984,1.147540984,4200,4200,4200,19.90601026,55.77452624,80.60242341
1.153005464,1.153005464,1.153005464,4200,4200,4200,19.85876137,55.64344866,80.41114159
1.158469945,1.158469945,1.158469945,4200,4200,4200,19.81191891,55.51287913,80.22138394
1.163934426,1.163934426,1.163934426,4200,4200,4200,19.76538129,55.38078545,80.03276939
1.169398907,1.169398907,1.169398907,4200,4200,4200,19.7191485,55.24919982,79.84567901
1.174863388,1.174863388,1.174863388,4200,4200,4200,19.67322055,55.12320276,79.65973175
1.180327869,1.180327869,1.180327869,4200,4200,4200,19.62759742,54.99364934,79.47530864
1.18579235,1.18579235,1.18579235,4200,4200,4200,19.58227912,54.8600315,79.29202865
1.191256831,1.191256831,1.191256831,4200,4200,4200,19.53736727,54.74216329,79.10989178
1.196721311,1.196721311,1.196721311,4200,4200,4200,19.49265864,54.61667429,78.92889803
1.202185792,1.202185792,1.202185792,4200,4200,4200,19.44835645,54.4942336,78.74942844
1.207650273,1.207650273,1.207650273,4200,4200,4200,19.40425748,54.37026876,78.57110197
1.213114754,1.213114754,1.213114754,4200,4200,4200,19.36056495,54.24884418,78.39391861
1.218579235,1.218579235,1.218579235,4200,4200,4200,19.31707565,54.12386323,78.21787837
1.224043716,1.224043716,1.224043716,4200,4200,4200,19.27389118,54.00396281,78.04298125
1.229508197,1.229508197,1.229508197,4200,4200,4200,19.23101153,53.88406239,77.86960829
1.234972678,1.234972678,1.234972678,4200,4200,4200,19.18843672,53.76416197,77.69699741
1.240437158,1.240437158,1.240437158,4200,4200,4200,19.14616674,53.64527765,77.52552964
1.245901639,1.245901639,1.245901639,4200,4200,4200,19.10409998,53.5202967,77.35558604
1.25136612,1.25136612,1.25136612,4200,4200,4200,19.06233806,53.41106539,77.18640451
1.256830601,1.256830601,1.256830601,4200,4200,4200,19.02088096,53.29218107,77.0183661
1.262295082,1.262295082,1.262295082,4200,4200,4200,18.97962709,53.17837728,76.85147081
1.267759563,1.267759563,1.267759563,4200,4200,4200,18.93867805,53.0569527,76.68571864
1.273224044,1.273224044,1.273224044,4200,4200,4200,18.89803384,52.9507697,76.52110959
1.278688525,1.278688525,1.278688525,4200,4200,4200,18.85759285,52.83798201,76.35726261
1.284153005,1.284153005,1.284153005,4200,4200,4200,18.81745669,52.72570238,76.19455876
1.289617486,1.289617486,1.289617486,4200,4200,4200,18.77752375,52.6139308,76.03299802
1.295081967,1.295081967,1.295081967,4200,4200,4200,18.73789565,52.50368338,75.8725804
1.300546448,1.300546448,1.300546448,4200,4200,4200,18.69847076,52.38987959,75.71292486
1.306010929,1.306010929,1.306010929,4200,4200,4200,18.6592491,52.28217243,75.55441244
1.31147541,1.31147541,1.31147541,4200,4200,4200,18.62033227,52.17344917,75.39666209
