d1,d2,d4,w1,w2,w3
0,0,0,3.50,9.80,13.60
0.1,0.1,0.1,3.40,9.50,13.20
0.2,0.2,0.2,3.30,9.30,12.90
0.3,0.3,0.3,3.30,9.10,12.60
0.4,0.4,0.4,3.20,8.80,12.20
0.5,0.5,0.5,3.10,8.70,11.90
0.6,0.6,0.6,3.00,8.40,11.60
0.7,0.7,0.7,3.00,8.30,11.40
0.8,0.8,0.8,2.90,8.00,11.20
0.9,0.9,0.9,2.80,7.90,11.00
1,1,1,2.80,7.80,10.70
